Settore Merceologico;Insegna;Ubicazione;Tipo Via;Via;Civico;Codice Via;ZD;Superficie vendita;Superficie altri usi;Superficie totale
;;"PZA CORDUSIO N. 2 ;pza cordusio 002; isolato:436; accesso: accesso esterno; (z.d. 1)";PZA;CORDUSIO;2;626;1;292;;292
;;RIP DI PTA TICINESE N. 73 (z.d. 1);RIP;DI PTA TICINESE;73;5150;6;800;;800
;;VIA ALBERICO DA ROSCIATE N. 5 (z.d. 7);VIA;ALBERICO DA ROSCIATE;5;6589;7;726;;0
;;"VIA ASTESANI ALESSANDRO N. 17 ; isolato:100; accesso: accesso esterno; (z.d. 8)";VIA;ASTESANI ALESSANDRO;17;1558;9;370;;370
;;"VIA MONTE NAPOLEONE num.006/a; (z.d. 1)";VIA;MONTE NAPOLEONE;;219;1;270;;270
;;"VIA ROGOREDO (in cassaforte) num.000; (z.d. 4)";VIA;ROGOREDO;;4373;4;15930;;15930
;esselunga;"VIA DOMENICHINO N. 2 ; isolato:227; accesso: accesso esterno; (z.d. 7)";VIA;DOMENICHINO;2;6383;7;795;622;1417
;esselunga;"VLE VIGLIANI PAOLO ONORATO num.059; isolato:169; accesso: accesso esterno; (z.d. 8)";VLE;VIGLIANI PAOLO ONORATO;;6422;8;1225;;1225
;in s mercato;"VIA DELLE BETULLE num.012; isolato:240; accesso: accesso esterno; (z.d. 7)";VIA;DELLE BETULLE;;6828;7;620;766;1386
;la rinascente s.p.a.;"VIA SANTA RADEGONDA N. 3 11 piani (10 f.t. e 1 int.);via santa radegonda 003; isolato:417; accesso: accesso esterno; (z.d. 1)";VIA;SANTA RADEGONDA;3;208;1;20340;;20340
;pam;"VIA PADOVA N. 111 ; isolato:279; accesso: accesso esterno; (z.d. 2)";VIA;PADOVA;111;2275;2;400;;1129
;supermarket;"VIA ROSSI PELLEGRINO N. 33 ; isolato:182; accesso: accesso esterno; (z.d. 9)";VIA;ROSSI PELLEGRINO;33;1510;9;1197;;1197
alimentare;;"PLE SELINUNTE N. 2 int. m.c.c. selinunte; (z.d. 7)";PLE;SELINUNTE;2;6566;7;330;;753
alimentare;;"VIA DEI PIATTI N. 3 pratica cassaforte-sequestro-;via dei piatti 003; isolato:427; accesso: accesso esterno; (z.d. 1)";VIA;DEI PIATTI;3;532;1;490;18;508
alimentare;in s mercato;"VIA ROMBON N. 34 int. mercato comunale coperto; isolato:098; accesso: accesso esterno; (z.d. 3)";VIA;ROMBON;34;2659;3;550;215;765
alimentare;punto sma;"VIA MAGGI CARLO MARIA N. 10 aff. az.tacit. rinnov.; isolato:124; accesso: accesso esterno; (z.d. 1)";VIA;MAGGI CARLO MARIA;10;7115;1;280;;458
"alimentare;non alimentare";;"CSO MATTEOTTI GIACOMO N. 14 ;cso matteotti giacomo 014; isolato:316; accesso: accesso esterno; (z.d. 1)";CSO;MATTEOTTI GIACOMO;14;218;1;384;;384
"alimentare;non alimentare";;"ff central codvia 9401 num.000 ; accesso: accesso interno; (z.d. 2)";VIA;EDOLO;26;1217;2;589;;589
"alimentare;non alimentare";;GLL DEL CORSO N. 4 (z.d. 1);GLL;DEL CORSO;4;305;1;2381;;3166
"alimentare;non alimentare";;"PLE FERRARA N. 2 interno merc. comun. coperto; isolato:125; pto strada:cs; accesso: accesso interno; (z.d. 4)";PLE;FERRARA;2;4158;4;536;1;54
"alimentare;non alimentare";;"PLE SELINUNTE N. 2 int. m.c.c. selinunte; accesso: accesso esterno; (z.d. 7)";PLE;SELINUNTE;2;6566;7;329;;753
"alimentare;non alimentare";;"PLE SELINUNTE N. 2 int. mercato comunale coperto; accesso: accesso esterno; (z.d. 7)";PLE;SELINUNTE;2;6566;7;329;323;652
"alimentare;non alimentare";;"PZA DEL DUOMO N. 31 ;cso vittorio emanuele ii 001; isolato:419; accesso: accesso esterno; (z.d. 1)";PZA;DEL DUOMO;31;1;1;757;;792
"alimentare;non alimentare";;PZA DELLA TRIVULZIANA N. 6 (z.d. 9);PZA;DELLA TRIVULZIANA;6;1765;9;1130;;1785
