Settore merceologico,Insegna,Tipo Via,Denominazione,Civico,Codice Via,Municipio,Superficie vendita[m²],Superficie altri usi[m²],Superficie totale[m²]
non alimentare,Mancante,PZA,CORDUSIO,2,626,1,292.0,0.0,292.0
non alimentare,Mancante,VIA,ALBERICO DA ROSCIATE,5,6589,7,726.0,0.0,726.0
non alimentare,Mancante,VIA,ASTESANI ALESSANDRO,17,1558,9,370.0,0.0,370.0
alimentare/non alimentare,esselunga,VIA,DOMENICHINO,2,6383,7,795.0,622.0,1417.0
alimentare/non alimentare,esselunga,VLE,VIGLIANI PAOLO ONORATO,59,6422,8,1225.0,0.0,1225.0
non alimentare,in s mercato,VIA,DELLE BETULLE,12,6828,7,620.0,766.0,1386.0
non alimentare,la rinascente s.p.a.,VIA,SANTA RADEGONDA,3,208,1,20340.0,0.0,20340.0
alimentare/non alimentare,pam,VIA,PADOVA,111,2275,2,400.0,729.0,1129.0
alimentare/non alimentare,supermarket,VIA,ROSSI PELLEGRINO,33,1510,9,1197.0,0.0,1197.0
alimentare,Mancante,VIA,DEI PIATTI,3,532,1,490.0,18.0,508.0
alimentare,in s mercato,VIA,ROMBON,34,2659,3,550.0,215.0,765.0
alimentare/non alimentare,Mancante,PLE,FERRARA,2,4158,4,536.0,0.0,536.0
alimentare/non alimentare,Mancante,PLE,SELINUNTE,2,6566,7,329.0,323.0,652.0
alimentare/non alimentare,Mancante,PZA,DEL DUOMO,31,1,1,757.0,35.0,792.0
alimentare/non alimentare,Mancante,PZA,SIGMUND FREUD,1,1705,9,800.0,100.0,900.0
alimentare/non alimentare,Mancante,VIA,ANTONINI GIACOMO,32,4250,5,1499.0,774.0,2273.0
alimentare/non alimentare,Mancante,VIA,ARCO,2,714,1,364.0,627.0,991.0
alimentare/non alimentare,Mancante,VIA,BIANCHI MOSE',94,6385,7,271.0,0.0,271.0
alimentare/non alimentare,Mancante,VIA,CHIOSTERGI GIUSEPPE,13,6850,7,536.0,100.0,636.0
alimentare/non alimentare,Mancante,VIA,DON RODRIGO,7,5416,5,751.0,349.0,1100.0
alimentare/non alimentare,Mancante,VIA,LOMBROSO CESARE,54,3334,4,800.0,100.0,900.0
alimentare/non alimentare,Mancante,VIA,LUDOVICO DI BREME,25,7396,8,1035.0,410.0,1445.0
alimentare/non alimentare,Mancante,VIA,MAGREGLIO,10,7486,8,535.0,285.0,820.0
alimentare/non alimentare,Mancante,VIA,MARGHERA,36,6280,7,314.0,0.0,314.0
alimentare/non alimentare,Mancante,VIA,MAURI ANGELO,5,6296,7,1050.0,850.0,1900.0
alimentare/non alimentare,Mancante,VIA,MEDEGHINO,11,5335,5,939.0,698.0,1637.0
alimentare/non alimentare,Mancante,VIA,PIRELLI GIOVANNI BATTISTA,30,1195,9,381.0,0.0,381.0
alimentare/non alimentare,Mancante,VIA,PONTE VETERO,14,718,1,300.0,0.0,300.0
alimentare/non alimentare,Mancante,VIA,RIPAMONTI GIUSEPPE,37,4066,5,673.0,436.0,1109.0
alimentare/non alimentare,Mancante,VIA,SAPRI,83,7441,8,360.0,0.0,360.0
alimentare/non alimentare,Mancante,VIA,SARPI FRA' PAOLO,44,7210,8,252.0,0.0,252.0
alimentare/non alimentare,Mancante,VIA,VISCONTI ALEX,24,7529,8,653.0,88.0,741.0
alimentare/non alimentare,Mancante,VLE,CASSALA,15,5275,6,385.0,0.0,385.0
alimentare/non alimentare,Mancante,VLE,GIOVANNI DA CERMENATE,62,5261,5,1130.0,822.0,1952.0
alimentare/non alimentare,Mancante,VLE,MOLISE,56,3178,4,1000.0,0.0,1000.0
alimentare/non alimentare,Mancante,VLE,SUZZANI GIOVANNI,221,1446,9,2500.0,2734.0,5234.0
alimentare/non alimentare,benetton,CSO,BUENOS AIRES,19,2129,3,2351.0,349.0,2700.0
